784, 784, 3626000, 0, 0, 0.001, 0.002, 0.0016, 0.007, 0.0289,
784, 1040, 3888144, 0, 0, 0.001, 0.002, 0.0021, 0.008, 0.0364,
784, 1296, 4150288, 0, 0, 0.001, 0.002, 0.0026, 0.01, 0.0433,
784, 1552, 4412432, 0, 0, 0.001, 0.004, 0.0031, 0.011, 0.0612,
784, 1808, 4674576, 0, 0, 0.002, 0.004, 0.0035, 0.012, 0.0763,
784, 2064, 4936720, 0, 0.001, 0.002, 0.004, 0.004, 0.014, 0.0787,
784, 2320, 5198864, 0, 0, 0.001, 0.005, 0.0045, 0.014, 0.0911,
784, 2576, 5461008, 0, 0, 0.001, 0.005, 0.0058, 0.017, 0.1014,
784, 2832, 5723152, 0, 0, 0.002, 0.006, 0.0055, 0.017, 0.1093,
784, 3088, 5985296, 0, 0, 0.001, 0.006, 0.006, 0.018, 0.1249,
784, 3344, 6247440, 0, 0, 0.002, 0.006, 0.0065, 0.02, 0.1237,
784, 3600, 6509584, 0, 0, 0.002, 0.008, 0.007, 0.022, 0.131,
1040, 16, 3761424, 0, 0, 0.001, 0.001, 0.0004, 0.007, 0.0042,
1040, 272, 4023568, 0.001, 0, 0.001, 0.003, 0.0028, 0.005, 0.0147,
1040, 528, 4285712, 0.001, 0, 0.001, 0.002, 0.0014, 0.007, 0.0268,
1040, 784, 4547856, 0, 0, 0.001, 0.003, 0.0021, 0.009, 0.0368,
1040, 1040, 4810000, 0, 0, 0.001, 0.005, 0.0027, 0.011, 0.0564,
1040, 1296, 5072144, 0, 0, 0.001, 0.003, 0.0034, 0.012, 0.0725,
1040, 1552, 5334288, 0, 0, 0.002, 0.004, 0.004, 0.015, 0.0836,
1040, 1808, 5596432, 0, 0, 0.001, 0.005, 0.0047, 0.016, 0.102,
1040, 2064, 5858576, 0, 0, 0.002, 0.006, 0.0054, 0.016, 0.105,
1040, 2320, 6120720, 0, 0, 0.003, 0.031, 0.0066, 0.018, 0.1146,
1040, 2576, 6382864, 0, 0, 0.002, 0.007, 0.0067, 0.02, 0.1254,
1040, 2832, 6645008, 0, 0, 0.001, 0.009, 0.0073, 0.021, 0.1355,
1040, 3088, 6907152, 0, 0, 0.001, 0.009, 0.008, 0.024, 0.1478,
1040, 3344, 7169296, 0, 0, 0.005, 0.038, 0.009, 0.024, 0.1541,
1040, 3600, 7431440, 0, 0, 0.002, 0.011, 0.0093, 0.026, 0.1683,
1296, 16, 4683280, 0, 0, 0.001, 0.001, 0.0001, 0.005, 0.0166,
1296, 272, 4945424, 0.001, 0, 0.001, 0.001, 0.001, 0.007, 0.0183,
1296, 528, 5207568, 0, 0, 0.001, 0.002, 0.0017, 0.008, 0.0331,
1296, 784, 5469712, 0, 0, 0.001, 0.003, 0.0026, 0.01, 0.0541,
1296, 1040, 5731856, 0, 0, 0.001, 0.003, 0.0033, 0.012, 0.0795,
1296, 1296, 5994000, 0, 0, 0.002, 0.022, 0.0048, 0.014, 0.0859,
1296, 1552, 6256144, 0.001, 0, 0.001, 0.006, 0.005, 0.014, 0.1016,
